site_info_id,ID,profile,X_coord,Y_coord,land_cover_id,climate_id,geology_id,topo_feature_id,sampling_date,districts_id,district
3,1618,1_61,15.09883975983,-11.2254114151,,,,,,,Cuanza Sul
5,1750,1_64,20.78811645508,-11.56868267059,,,,,,,Moxico
6,3097,1_66,17.66676613393,-14.65552567842,,,,,,,
7,886,1_69,14.22239780426,-9.27919483185,,,,,,,Cuanza Norte
8,919,1_70,14.89570331573,-9.32650947571,,,,,,,Cuanza Norte
12,2477,10_62,16.67520523071,-13.59984874725,,,,,,,Bie
14,3086,10_66,17.68633508619,-15.0809691961,,,,,,,
15,1443,100_46,14.61942577362,-10.74551773071,,,,,,,Cuanza Sul
16,2491,100_55,15.07132911682,-13.72766685486,,,,,,,Huila
21,2241,100_62,17.1791343689,-12.83391857147,,,,,,,Bie
23,3248,100_66,19.0119628458,-15.87283358951,,,,,,,
24,1136,100_68,14.15492343903,-9.75567913055,,,,,,,Bengo
25,734,100_70,15.50221157074,-8.99183940887,,,,,,,Cuanza Norte
26,129,100C_60,14.95411777496,-5.95625257492,,,,,,,Uige e Zaire
29,1745,100C_64,23.3699016571,-11.56278896332,,,,,,,Moxico
30,1482,101_46,14.33434963226,-10.86510181427,,,,,,,Cuanza Sul
31,2870,101_54,14.04871082306,-16.55756950378,,,,,,,Cu
32,2487,101_55,15.09663677216,-13.67635536194,,,,,,,Huila
35,240,101_60,16.21762657166,-6.56176185608,,,,,,,Uige e Zaire
36,1370,101_61,15.47781944275,-10.45052146912,,,,,,,Cuanza Sul
39,2187,101_64,21.54183006287,-12.68030643463,,,,,,,Moxico
40,3161,101_66,17.66788385222,-14.62031572581,,,,,,,
41,958,101_67,13.68240642548,-9.40864276886,,,,,,,Bengo
42,733,101_70,15.56768989563,-8.99084854126,,,,,,,Cuanza Norte
45,192,101C_60,14.89724445343,-6.21863985062,,,,,,,Uige e Zaire
46,1254,101C_62,14.98624515533,-10.09181880951,,,,,,,Cuanza Sul
48,1057,101C_65,21.58881759644,-9.5897102356,,,,,,,Lunda Sul
49,1545,102_46,14.33766078949,-11.0428276062,,,,,,,Cuanza Sul
52,1351,102_61,15.49691486359,-10.40402507782,,,,,,,Cuanza Sul
54,3160,102_66,17.64820151996,-14.55294158845,,,,,,,
55,946,102_67,13.68553256989,-9.38694858551,,,,,,,Huila
57,2323,102_69,13.7517375946,-13.09738731384,,,,,,,Benguela
59,1102,102C_65,21.60388565063,-9.68012142181,,,,,,,Lunda Sul
60,1696,103_46,14.35262393951,-11.42796802521,,,,,,,Cuanza Sul
66,3159,103_66,17.64971554552,-14.46399258688,,,,,,,
67,1036,103_68,13.90965938568,-9.55443572998,,,,,,,Bengo
70,201,103C_60,14.63863277435,-6.2516617775,,,,,,,Uige e Zaire
71,1257,103C_62,15.06678581238,-10.09447002411,,,,,,,Cuanza Sul
74,1085,103C_65,21.69265365601,-9.65116214752,,,,,,,Lunda Sul
75,2442,104_55,15.09819221497,-13.50146865845,,,,,,,Huila
77,2495,104_57,13.08934211731,-13.77484989166,,,,,,,Namibe
80,1742,104_60,14.8343667984,-11.559674263,,,,,,,Cuanza Sul
81,1331,104_61,15.56596183777,-10.33809089661,,,,,,,Cuanza Sul
83,2233,104_64,22.28581237793,-12.79356861115,,,,,,,Moxico
84,3158,104_66,17.64214541773,-14.40078201981,,,,,,,
85,1065,104_68,13.8911113739,-9.60309886932,,,,,,,Bengo
86,646,104_70,15.47621631622,-8.70358848572,,,,,,,Cuanza Norte
90,1799,105_46,14.85475158691,-11.69689464569,,,,,,,Cuanza Sul
95,3157,105_66,17.62738366853,-14.33340788245,,,,,,,
96,2355,105_69,13.76494503021,-13.20020008087,,,,,,,Benguela
97,197,105C_60,14.69126319885,-6.22707843781,,,,,,,Uige e Zaire
101,1303,106_61,15.62290763855,-10.24807834625,,,,,,,Cuanza Sul
103,3146,106_66,17.61182490591,-14.25203059159,,,,,,,
105,1290,106C_62,15.21264076233,-10.19268608093,,,,,,,Cuanza Sul
109,2434,107_57,14.61871433258,-13.46855640411,,,,,,,Benguela
114,2287,107_64,21.99492454529,-12.98391056061,,,,,,,Moxico
122,1990,108_58,13.82771110535,-12.20505619049,,,,,,,Benguela
125,2522,108_62,16.75442886353,-13.89313316345,,,,,,,Bie
128,3144,108_66,17.54905330293,-14.14503354105,,,,,,,
129,2325,108_69,14.04686355591,-13.11475372314,,,,,,,Benguela
130,224,108C_60,14.61621856689,-6.48405456543,,,,,,,Uige e Zaire
131,1306,108C_62,15.33794116974,-10.26124000549,,,,,,,Cuanza Sul
133,2849,109_54,14.25576496124,-16.24386787415,,,,,,,
134,2417,109_57,14.61506843567,-13.40763950348,,,,,,,Benguela
139,3147,109_66,17.65177047145,-14.21874262031,,,,,,,
142,241,109C_60,14.61624622345,-6.5642824173,,,,,,,Uige e Zaire
145,351,10C_60,15.70276927948,-7.17158889771,,,,,,,Uige e Zaire
147,1821,10C_64,20.89743041992,-11.74977493286,,,,,,,Moxico
148,1542,10C_65,20.18459510803,-11.02886486053,,,,,,,Lunda Sul
149,2703,11_54,14.38007164001,-14.99594688416,,,,,,,Huila
153,1660,11_64,21.56291389465,-11.31526470184,,,,,,,Moxico
154,1159,11_65,21.27826309204,-9.81544399261,,,,,,,Lunda Sul
155,3085,11_66,17.69140851826,-15.10126292437,,,,,,,
157,2848,110_54,14.17398738861,-16.1948928833,,,,,,,
158,2475,110_55,14.95828819275,-13.59674072266,,,,,,,Huila
160,2000,110_58,13.76522445679,-12.22303771973,,,,,,,Benguela
