row_index,site_info_id,variable,value
798,2595.0,grazing_1960,76.7635
817,2716.0,grazing_1960,76.61828
857,2648.0,grazing_1960,76.66019
190,2150.0,ir_norice_1950,0.07973213
194,2169.0,ir_norice_1950,0.07973213
225,2155.0,ir_norice_1950,0.07973213
295,2124.0,ir_norice_1950,7.122021
531,1673.0,ir_norice_1950,3.734763
295,2124.0,ir_norice_1960,6.211026
25,160.0,pasture_1950,60.190342
56,166.0,pasture_1950,60.190342
273,1729.0,pasture_1950,60.053463
429,2312.0,pasture_1950,63.486115
455,2311.0,pasture_1950,63.486115
543,1597.0,pasture_1950,61.620594
560,708.0,pasture_1950,62.070236
561,706.0,pasture_1950,62.070236
622,850.0,pasture_1950,59.025566
23,169.0,pasture_1960,67.82336
25,160.0,pasture_1960,67.82336
56,166.0,pasture_1960,67.82336
230,118.0,pasture_1960,68.33443
429,2312.0,pasture_1960,69.50943
455,2311.0,pasture_1960,69.50943
543,1597.0,pasture_1960,69.4465
560,708.0,pasture_1960,69.9587
562,3738.0,pasture_1960,73.2234
641,704.0,pasture_1960,68.578575
15,2479.0,rangeland_1950,68.24937
173,2175.0,rangeland_1950,68.183586
178,2184.0,rangeland_1950,68.183586
197,2195.0,rangeland_1950,68.093285
199,2222.0,rangeland_1950,68.093285
234,2193.0,rangeland_1950,68.093285
289,2210.0,rangeland_1950,68.13313
344,2377.0,rangeland_1950,69.005646
798,2595.0,rangeland_1950,68.086914
817,2716.0,rangeland_1950,67.983315
15,2479.0,rangeland_1960,76.53687
173,2175.0,rangeland_1960,77.296906
178,2184.0,rangeland_1960,77.296906
199,2222.0,rangeland_1960,76.71006
249,2265.0,rangeland_1960,76.96261
289,2210.0,rangeland_1960,77.82673
364,2468.0,rangeland_1960,76.570816
798,2595.0,rangeland_1960,76.7635
817,2716.0,rangeland_1960,76.61828
857,2648.0,rangeland_1960,76.66019
190,2150.0,tot_irri_1950,0.07973213
194,2169.0,tot_irri_1950,0.07973213
225,2155.0,tot_irri_1950,0.07973213
295,2124.0,tot_irri_1950,7.122021
531,1673.0,tot_irri_1950,3.734763
736,3633.0,tot_irri_1950,7.9556866
738,3632.0,tot_irri_1950,5.712715
742,3634.0,tot_irri_1950,7.9556866
295,2124.0,tot_irri_1960,6.211026
531,1673.0,tot_irri_1960,4.399542
736,3633.0,tot_irri_1960,9.657352
738,3632.0,tot_irri_1960,6.7238073
742,3634.0,tot_irri_1960,9.657352
95,2249.0,tot_rainfed_1950,19.946777
401,2301.0,tot_rainfed_1950,15.657247
407,2298.0,tot_rainfed_1950,15.657247
453,2302.0,tot_rainfed_1950,18.619205
495,2314.0,tot_rainfed_1950,18.619205
506,2303.0,tot_rainfed_1950,18.619205
519,2313.0,tot_rainfed_1950,17.027334
529,2305.0,tot_rainfed_1950,16.27992
628,2567.0,tot_rainfed_1950,15.919051
637,2540.0,tot_rainfed_1950,15.424731
95,2249.0,tot_rainfed_1960,20.370455
401,2301.0,tot_rainfed_1960,19.111975
407,2298.0,tot_rainfed_1960,19.111975
453,2302.0,tot_rainfed_1960,22.301388
495,2314.0,tot_rainfed_1960,22.301388
506,2303.0,tot_rainfed_1960,22.301388
519,2313.0,tot_rainfed_1960,20.281467
529,2305.0,tot_rainfed_1960,19.588934
628,2567.0,tot_rainfed_1960,19.3472
637,2540.0,tot_rainfed_1960,18.753042
22,2698.0,mean_temp_coldest_quarter,15.100000381469728
202,2690.0,mean_temp_coldest_quarter,15.100000381469728
276,126.0,mean_temp_coldest_quarter,24.5
284,153.0,mean_temp_coldest_quarter,24.100000381469727
296,2695.0,mean_temp_coldest_quarter,15.300000190734863
302,413.0,mean_temp_coldest_quarter,23.899999618530273
335,172.0,mean_temp_coldest_quarter,24.100000381469727
339,167.0,mean_temp_coldest_quarter,24.100000381469727
423,2713.0,mean_temp_coldest_quarter,15.100000381469728
567,2689.0,mean_temp_coldest_quarter,15.100000381469728
744,2732.0,mean_temp_coldest_quarter,15.300000190734863
785,2699.0,mean_temp_coldest_quarter,15.300000190734863
22,2698.0,annual_mean_temp,17.571049
202,2690.0,annual_mean_temp,17.571049
276,126.0,annual_mean_temp,27.5
284,153.0,annual_mean_temp,27.115784
296,2695.0,annual_mean_temp,17.411634
335,172.0,annual_mean_temp,27.115784
339,167.0,annual_mean_temp,27.115784
354,191.0,annual_mean_temp,26.771774
362,3761.0,annual_mean_temp,26.771774
417,229.0,annual_mean_temp,26.593834
423,2713.0,annual_mean_temp,17.571049
437,248.0,annual_mean_temp,26.593834
567,2689.0,annual_mean_temp,17.571049
744,2732.0,annual_mean_temp,17.411634
785,2699.0,annual_mean_temp,17.411634
44,501.0,annual_precip,1481.0
165,526.0,annual_precip,1570.0
174,539.0,annual_precip,1590.0
263,2770.0,annual_precip,76.0
302,413.0,annual_precip,1597.0
323,467.0,annual_precip,1578.0
371,427.0,annual_precip,1590.0
394,438.0,annual_precip,1580.0
471,2891.0,annual_precip,142.0
527,480.0,annual_precip,1556.0
553,2896.0,annual_precip,142.0
609,2897.0,annual_precip,78.0
630,611.0,annual_precip,1507.0
639,630.0,annual_precip,1507.0
672,2847.0,annual_precip,120.0
724,2799.0,annual_precip,140.0
754,2828.0,annual_precip,85.0
763,2819.0,annual_precip,40.0
767,2814.0,annual_precip,59.0
857,2648.0,annual_precip,144.0
44,501.0,isothermality,76.25847
196,601.0,isothermality,77.0
242,624.0,isothermality,76.99838
247,659.0,isothermality,76.75893
280,552.0,isothermality,76.36361
287,529.0,isothermality,76.997444
694,641.0,isothermality,77.0
756,564.0,isothermality,77.0
707,2855.0,max_temp_warmest_month,35.005913
709,2860.0,max_temp_warmest_month,35.005913
710,2869.0,max_temp_warmest_month,35.16771
717,2857.0,max_temp_warmest_month,35.04775
728,2873.0,max_temp_warmest_month,35.157997
731,2865.0,max_temp_warmest_month,35.057827
737,2879.0,max_temp_warmest_month,35.265015
743,2904.0,max_temp_warmest_month,35.13324
768,2916.0,max_temp_warmest_month,35.02736
769,2892.0,max_temp_warmest_month,35.23416
276,126.0,mean_temp_driest_quarter,24.5
284,153.0,mean_temp_driest_quarter,24.106653
302,413.0,mean_temp_driest_quarter,23.9
323,467.0,mean_temp_driest_quarter,23.793583
335,172.0,mean_temp_driest_quarter,24.106653
339,167.0,mean_temp_driest_quarter,24.106653
359,463.0,mean_temp_driest_quarter,24.03523
809,453.0,mean_temp_driest_quarter,23.830202
813,470.0,mean_temp_driest_quarter,23.830202
822,473.0,mean_temp_driest_quarter,23.834885
276,126.0,mean_temp_warmest_quarter,29.4
284,153.0,mean_temp_warmest_quarter,29.098148
335,172.0,mean_temp_warmest_quarter,29.098148
339,167.0,mean_temp_warmest_quarter,29.098148
354,191.0,mean_temp_warmest_quarter,28.689928
362,3761.0,mean_temp_warmest_quarter,28.689928
417,229.0,mean_temp_warmest_quarter,28.542332
437,248.0,mean_temp_warmest_quarter,28.542332
476,310.0,mean_temp_warmest_quarter,28.507233
479,303.0,mean_temp_warmest_quarter,28.507233
44,501.0,mean_temp_wettest_quarter,76.58633
196,601.0,mean_temp_wettest_quarter,76.50801
242,624.0,mean_temp_wettest_quarter,77.0
247,659.0,mean_temp_wettest_quarter,77.0
280,552.0,mean_temp_wettest_quarter,76.36055
287,529.0,mean_temp_wettest_quarter,76.72556
633,718.0,mean_temp_wettest_quarter,76.0
694,641.0,mean_temp_wettest_quarter,76.88586
756,564.0,mean_temp_wettest_quarter,76.56714
822,473.0,mean_temp_wettest_quarter,76.0
276,126.0,min_temp_coldest_month,20.1
284,153.0,min_temp_coldest_month,19.8
335,172.0,min_temp_coldest_month,19.8
339,167.0,min_temp_coldest_month,19.8
354,191.0,min_temp_coldest_month,19.4
362,3761.0,min_temp_coldest_month,19.4
417,229.0,min_temp_coldest_month,19.2
437,248.0,min_temp_coldest_month,19.2
476,310.0,min_temp_coldest_month,19.2
479,303.0,min_temp_coldest_month,19.2
280,552.0,precip_coldest_quarter,38.0
287,529.0,precip_coldest_quarter,194.0
302,413.0,precip_coldest_quarter,60.0
323,467.0,precip_coldest_quarter,57.0
371,427.0,precip_coldest_quarter,56.0
394,438.0,precip_coldest_quarter,53.0
527,480.0,precip_coldest_quarter,44.0
809,453.0,precip_coldest_quarter,46.0
813,470.0,precip_coldest_quarter,46.0
822,473.0,precip_coldest_quarter,41.0
302,413.0,precip_driest_month,5.0
323,467.0,precip_driest_month,5.0
334,517.0,precip_driest_month,5.0
371,427.0,precip_driest_month,5.0
44,501.0,precip_driest_quarter,35.0
165,526.0,precip_driest_quarter,36.0
302,413.0,precip_driest_quarter,44.0
323,467.0,precip_driest_quarter,42.0
371,427.0,precip_driest_quarter,44.0
394,438.0,precip_driest_quarter,45.0
527,480.0,precip_driest_quarter,42.0
809,453.0,precip_driest_quarter,43.0
813,470.0,precip_driest_quarter,43.0
822,473.0,precip_driest_quarter,39.0
15,2479.0,precip_seasonality,123.0
124,189.0,precip_seasonality,64.0
190,2150.0,precip_seasonality,124.0
225,2155.0,precip_seasonality,124.0
244,2216.0,precip_seasonality,123.0
302,413.0,precip_seasonality,65.0
306,2219.0,precip_seasonality,123.0
318,2237.0,precip_seasonality,124.0
332,2240.0,precip_seasonality,129.0
371,427.0,precip_seasonality,64.0
376,2415.0,precip_seasonality,125.0
388,2412.0,precip_seasonality,125.0
394,438.0,precip_seasonality,64.0
809,453.0,precip_seasonality,64.0
813,470.0,precip_seasonality,64.0
822,473.0,precip_seasonality,65.0
894,2572.0,precip_seasonality,132.0
898,176.0,precip_seasonality,65.0
899,176.0,precip_seasonality,65.0
169,2427.0,precip_warmest_quarter,615.0
188,2489.0,precip_warmest_quarter,610.0
263,2770.0,precip_warmest_quarter,47.0
401,2301.0,precip_warmest_quarter,563.0
407,2298.0,precip_warmest_quarter,563.0
466,2278.0,precip_warmest_quarter,563.0
471,2891.0,precip_warmest_quarter,95.0
529,2305.0,precip_warmest_quarter,564.0
553,2896.0,precip_warmest_quarter,95.0
609,2897.0,precip_warmest_quarter,48.0
672,2847.0,precip_warmest_quarter,77.0
724,2799.0,precip_warmest_quarter,94.0
754,2828.0,precip_warmest_quarter,57.0
763,2819.0,precip_warmest_quarter,28.0
767,2814.0,precip_warmest_quarter,40.0
857,2648.0,precip_warmest_quarter,98.0
34,2387.0,precip_wettest_month,300.0
41,2362.0,precip_wettest_month,300.0
47,2346.0,precip_wettest_month,299.0
58,2338.0,precip_wettest_month,299.0
263,2770.0,precip_wettest_month,24.0
463,2296.0,precip_wettest_month,300.0
471,2891.0,precip_wettest_month,39.0
501,2349.0,precip_wettest_month,299.0
553,2896.0,precip_wettest_month,39.0
609,2897.0,precip_wettest_month,25.0
611,2447.0,precip_wettest_month,300.0
672,2847.0,precip_wettest_month,35.0
724,2799.0,precip_wettest_month,43.0
754,2828.0,precip_wettest_month,27.0
763,2819.0,precip_wettest_month,14.0
767,2814.0,precip_wettest_month,19.0
857,2648.0,precip_wettest_month,52.0
57,1888.0,precip_wettest_quarter,722.0
71,1937.0,precip_wettest_quarter,732.0
73,1936.0,precip_wettest_quarter,732.0
76,1930.0,precip_wettest_quarter,723.0
263,2770.0,precip_wettest_quarter,50.0
471,2891.0,precip_wettest_quarter,103.0
553,2896.0,precip_wettest_quarter,103.0
609,2897.0,precip_wettest_quarter,60.0
672,2847.0,precip_wettest_quarter,88.0
692,1945.0,precip_wettest_quarter,740.0
724,2799.0,precip_wettest_quarter,97.0
739,1560.0,precip_wettest_quarter,752.0
754,2828.0,precip_wettest_quarter,63.0
755,1558.0,precip_wettest_quarter,752.0
763,2819.0,precip_wettest_quarter,29.0
767,2814.0,precip_wettest_quarter,43.0
821,1907.0,precip_wettest_quarter,731.0
831,1875.0,precip_wettest_quarter,731.0
857,2648.0,precip_wettest_quarter,98.0
212,73.0,temp_annual_range,12.9
411,3765.0,temp_annual_range,28.537384
420,3764.0,temp_annual_range,28.537384
439,719.0,temp_annual_range,12.631181
443,697.0,temp_annual_range,12.631181
666,3556.0,temp_annual_range,28.5
675,3557.0,temp_annual_range,28.5
720,3553.0,temp_annual_range,28.5
728,2873.0,temp_annual_range,28.465012
731,2865.0,temp_annual_range,28.464388
761,1116.0,temp_annual_range,12.878987
768,2916.0,temp_annual_range,28.593918
769,2892.0,temp_annual_range,28.565275
773,865.0,temp_annual_range,12.682128
44,501.0,temp_seasonality,3.563595
280,552.0,temp_seasonality,3.6476145
287,529.0,temp_seasonality,3.4102747
302,413.0,temp_seasonality,3.2351387
323,467.0,temp_seasonality,3.1865249
371,427.0,temp_seasonality,3.58642
658,3612.0,temp_seasonality,32.85509
666,3556.0,temp_seasonality,33.750404
675,3557.0,temp_seasonality,33.750404
720,3553.0,temp_seasonality,33.750404
732,3608.0,temp_seasonality,33.57577
736,3633.0,temp_seasonality,32.64099
738,3632.0,temp_seasonality,32.64099
740,3629.0,temp_seasonality,32.24915
742,3634.0,temp_seasonality,32.668564
809,453.0,temp_seasonality,3.5502307
813,470.0,temp_seasonality,3.5502307
822,473.0,temp_seasonality,3.525398
22,2698.0,tmax_mean,23.166666666666668
