subset,model,site_info_id,y_true,y_pred,error,abs_error,X_coord,Y_coord
2,RF_5fold,2897.0,0.27,0.6577996749591996,-0.3877996749591995,0.3877996749591995,197459.6890167587,8127173.281981769
35,RF_5fold,2378.0,0.89,1.1577680578759917,-0.2677680578759916,0.2677680578759916,780271.3172257154,8532907.804928
5,RF_5fold,1003.0,2.19,1.5442120979301053,0.6457879020698947,0.6457879020698947,522825.6097330062,8949663.381517624
24,RF_5fold,3504.0,1.58,1.0524663673760877,0.5275336326239124,0.5275336326239124,1109730.2473016293,8142812.437749388
46,RF_5fold,1920.0,1.41,1.312723885170988,0.0972761148290117,0.0972761148290117,365605.2173515419,8670882.463365596
15,RF_5fold,480.0,1.78,1.7747958623100333,0.0052041376899667,0.0052041376899667,1034030.9715440356,9148390.180205071
36,RF_5fold,2686.0,1.16,0.984148672430941,0.1758513275690589,0.1758513275690589,629552.17888743,8346532.772889241
38,RF_5fold,1381.0,1.35,1.5084335024961286,-0.1584335024961285,0.1584335024961285,1291062.0648921877,8828885.433574732
6,RF_5fold,125.0,1.6,1.386775635083182,0.2132243649168181,0.2132243649168181,276330.53541973466,9345133.767573752
16,RF_5fold,3377.0,1.33,0.8871235968716522,0.4428764031283478,0.4428764031283478,1030958.2897935064,8129797.004112957
40,RF_5fold,2294.0,1.66,1.278371661074651,0.381628338925349,0.381628338925349,578416.2885608248,8562149.775555762
12,RF_5fold,564.0,2.18,1.511689091070866,0.6683109089291341,0.6683109089291341,1212942.5050354437,9075958.918612389
6,RF_5fold,2752.0,1.69,1.4063569614225646,0.2836430385774353,0.2836430385774353,341202.9762833008,8323575.101779239
37,RF_5fold,1733.0,1.4,1.4180910530818511,-0.0180910530818514,0.0180910530818514,1049060.7179308217,8719483.125781842
21,RF_5fold,333.0,1.7,1.345258590699892,0.354741409300108,0.354741409300108,710458.120841737,9217038.882487446
43,RF_5fold,2658.0,1.6,1.1179848303968134,0.4820151696031867,0.4820151696031867,1239189.0611527874,8346775.309999999
24,RF_5fold,1116.0,1.54,1.292287371429138,0.2477126285708619,0.2477126285708619,309025.2797687277,8926495.619907966
42,RF_5fold,189.0,1.03,1.6829786499995474,-0.6529786499995474,0.6529786499995474,676470.844119863,9313782.072229557
50,RF_5fold,2922.0,0.83,0.784080743364393,0.0459192566356069,0.0459192566356069,501517.0793499508,8080642.989718194
27,RF_5fold,2128.0,1.11,1.1017203400072584,0.0082796599927417,0.0082796599927417,1166742.925654911,8605573.020651026
5,RF_5fold,465.0,1.6,1.6190731065356212,-0.0190731065356211,0.0190731065356211,331862.14518284705,9162755.490195142
44,RF_5fold,3262.0,0.46,0.9870377968285589,-0.5270377968285587,0.5270377968285587,1017595.5572587372,8245131.829727215
48,RF_5fold,1491.0,1.07,1.2915938428173994,-0.2215938428173993,0.2215938428173993,707762.4406566385,8793187.96281343
5,RF_5fold,470.0,1.58,1.4887592793722444,0.0912407206277556,0.0912407206277556,1201649.5274277187,9155096.69447266
23,RF_5fold,2565.0,1.01,0.8481472122954451,0.1618527877045549,0.1618527877045549,294300.0554840555,8429719.763168527
2,RF_5fold,1000.0,1.24,1.516240561287955,-0.276240561287955,0.276240561287955,960714.3938544831,8947049.153726064
48,RF_5fold,122.0,1.44,1.6603917560055186,-0.2203917560055186,0.2203917560055186,605852.4832023017,9347491.164616631
32,RF_5fold,3641.0,1.27,0.9933228088612458,0.2766771911387542,0.2766771911387542,1249762.4774112245,8005769.529598918
19,RF_5fold,2410.0,2.22,1.3150694622639134,0.9049305377360868,0.9049305377360868,460141.3280947609,8522088.703876376
9,RF_5fold,641.0,1.58,1.4962182098326506,0.0837817901673494,0.0837817901673494,1146158.3868637723,9036223.767150514
22,RF_5fold,3304.0,0.81,0.874416583983526,-0.0644165839835259,0.0644165839835259,784474.624886525,8213848.259208001
35,RF_5fold,1907.0,1.8,1.5508131067760065,0.2491868932239935,0.2491868932239935,1433303.1329771294,8660236.823422423
38,RF_5fold,280.0,0.86,1.5384077940561327,-0.6784077940561327,0.6784077940561327,249632.6673293143,9242472.850079335
13,RF_5fold,3226.0,0.78,0.9876528250200952,-0.2076528250200953,0.2076528250200953,822704.0885997084,8310655.12329256
19,RF_5fold,1291.0,0.95,1.5146126948633591,-0.5646126948633592,0.5646126948633592,579344.4657143669,8872908.692071717
46,RF_5fold,427.0,1.4,1.7324938898793845,-0.3324938898793845,0.3324938898793845,1093859.2079079407,9178418.59755855
4,RF_5fold,2891.0,0.22,0.6249972286756929,-0.4049972286756929,0.4049972286756929,227894.80636516272,8137362.101640072
9,RF_5fold,2427.0,0.94,1.1940667226318558,-0.2540667226318558,0.2540667226318558,1018540.95103915,8508115.00090963
39,RF_5fold,554.0,1.45,1.4240264651612553,0.0259735348387446,0.0259735348387446,677487.6585476053,9087095.501610331
21,RF_5fold,2767.0,0.81,1.2125103557257164,-0.4025103557257163,0.4025103557257163,1252545.6591840817,8305915.422363273
27,RF_5fold,1673.0,1.0,1.3044917385814228,-0.3044917385814227,0.3044917385814227,376234.8617012482,8746338.24588161
22,RF_5fold,539.0,2.15,1.6470306199067546,0.5029693800932453,0.5029693800932453,890315.7175036496,9094808.296886548
13,RF_5fold,2622.0,1.22,1.175922290245703,0.044077709754297,0.044077709754297,585926.8783060696,8391233.934110032
18,RF_5fold,959.0,1.39,1.4236721287225844,-0.0336721287225845,0.0336721287225845,1244410.261537335,8952664.183536032
16,RF_5fold,130.0,2.0,1.8019696895991013,0.1980303104008987,0.1980303104008987,448906.8088007266,9341521.024270684
